model,desc,R2_train,R2_test,R_train,R_test,Spearmanr_train,Spearmanr_test,MSE_train,MSE_test,MAE_train,MAE_test,RMSE_train,RMSE_test
lgb,rdkit_soap,0.8507217062649581,0.7313969819955422,0.9265883601347416,0.8583497838875391,0.9068554926808994,0.8308464209140085,0.036667395515479345,0.06480059218833989,0.1287951512438786,0.18772654246005796,0.19148732468620305,0.2545596043922521
lgb,soap_xtb,0.8451359660362385,0.7314504910898271,0.9248362461933414,0.863415643932003,0.9080816206363569,0.8393574297188756,0.03803942718256631,0.06478768309661453,0.12929080149522576,0.18363490291557907,0.19503698926759075,0.2545342473943625
lgb,rdkit_xtb,0.8609628423140667,0.7683933613007141,0.9310057954275555,0.8799178342797817,0.9140446203203,0.8457352445010395,0.03415185372675142,0.05587519996597924,0.11862326696144036,0.1669487860878365,0.1848022016285288,0.23637935604866014
lgb,soap_acsf,0.8636889456376907,0.7493901304149418,0.9333060649971956,0.8739397349624896,0.918029189811708,0.8558352651799612,0.03348223789525751,0.0604597374891926,0.12224200119286689,0.18130052327226512,0.18298152337123416,0.24588561871161274
lgb,acsf_xtb,0.8773668054900635,0.7876458640815344,0.9410867757497708,0.8935603549655248,0.9297383654224989,0.8490221046788783,0.030122529765806132,0.05123052549220207,0.11664808042871469,0.1636460711411952,0.1735584332892128,0.22634161237430928
lgb,rdkit_acsf,0.882887734984415,0.78581475071927,0.9430290636089873,0.8899825294034341,0.9320569248953332,0.8651951981367204,0.02876641763243883,0.05167228236865215,0.1098595947011477,0.16541980190819888,0.1696066556254171,0.22731538084487848
lgb,rdkit_soap_xtb,0.8707686560373967,0.7699067850914055,0.9362719023290876,0.8810171965532771,0.9214862471912059,0.859056823499962,0.03174324065147983,0.055510085833616434,0.11862722911609604,0.17023181538397544,0.1781663286131244,0.23560578480507738
lgb,rdkit_soap_acsf,0.8802167888256165,0.7843037187639462,0.9411033290124067,0.8877922566391464,0.9268462274484676,0.858142597490232,0.029422485147378705,0.052036819469716514,0.11228759163827551,0.15900091349028259,0.171529837484266,0.2281158027619229
lgb,rdkit_xtb_acsf,0.8730582666677604,0.7673861020384659,0.9379805965075213,0.8800981375335356,0.9247365253646561,0.8414253218837411,0.031180841012125673,0.056118201690851105,0.11668742767078823,0.17697967258604103,0.17658097579333304,0.2368928063298907
lgb,soap_xtb_acsf,0.888587643667354,0.7890943453061339,0.9455950998017226,0.8914024038697207,0.9299049664243563,0.8553128503172583,0.02736634263928275,0.05088107878149466,0.10922931817104246,0.1589334113799595,0.1654277565563976,0.22556834614257085
lgb,rdkit_soap_xtb_acsf,0.8858675347221818,0.7885653974644296,0.9444604499658495,0.8927380561706724,0.9316915110555005,0.8681990835972618,0.02803448606484233,0.051008687672987524,0.10857530019310196,0.16455760319039922,0.16743502042536482,0.2258510298249435
xgb,rdkit_soap,0.9240727177840029,0.8133258856343099,0.9657787269245299,0.9087516803565453,0.9607303081339216,0.8792568648578053,0.018650103895016944,0.04503520938446733,0.084265787397779,0.14779853482124647,0.13656538322363007,0.2122150074440244
xgb,soap_xtb,0.9216976353609311,0.8396748265183829,0.9639754351807105,0.920033371402511,0.9577882937684817,0.8791480284280756,0.019233498067134234,0.03867851620391952,0.08598396525282521,0.13106806744283475,0.13868488766673256,0.1966685440123039
xgb,rdkit_xtb,0.9213002189215953,0.8205351886671596,0.9644999425935952,0.9133706636001312,0.9597313948504358,0.8838715294783471,0.01933111591498654,0.04329596196548969,0.08653090201729989,0.14247205304761484,0.13903638342170205,0.20807681746290163
xgb,soap_acsf,0.9181373340202372,0.8224171529766567,0.9624979740678362,0.9124020220136518,0.9563664702495118,0.8823695867480764,0.020108018897639066,0.042841937276419696,0.08779234052891757,0.1419516771064844,0.14180274643898497,0.20698293957816838
xgb,acsf_xtb,0.9156860729800552,0.8202394739756321,0.9611786219242411,0.9117838940496199,0.9564953175939837,0.8828702343248334,0.02071012490932468,0.04336730326043169,0.0903667789456966,0.14360055924548154,0.14391012789002963,0.208248177087896
xgb,rdkit_acsf,0.9150539902242528,0.8066784931018524,0.9615754076771086,0.907966812305873,0.9563439566006122,0.8849381264896987,0.02086538410894186,0.04663889565654207,0.08910957040739421,0.14753755652358666,0.14444855177170127,0.21596040298291275
xgb,rdkit_soap_xtb,0.9229596873238003,0.8126719310195052,0.9649568844055164,0.9078433032132484,0.9604341670599339,0.8705064159075327,0.018923498821257604,0.04519297621306988,0.0840528735308228,0.14810195524729788,0.13756270868682982,0.21258639705557333
xgb,rdkit_soap_acsf,0.9182346612479403,0.8240536989888172,0.9629616447806184,0.9153126227028751,0.9572237207268445,0.8856346796399692,0.020084112301017944,0.04244711985582874,0.08768063964006874,0.1393728200826249,0.1417184261167825,0.20602698817346415
xgb,rdkit_xtb_acsf,0.920710317488844,0.8183634094124667,0.9637027954735637,0.9116222787047588,0.9592194691108408,0.8853299376367258,0.019476014068687524,0.04381990463319314,0.0862929757622582,0.1421287641802212,0.13955649060035696,0.20933204397127816
xgb,soap_xtb_acsf,0.9225014298155287,0.839900027604916,0.9642258387846716,0.9201403254453137,0.9571807716120205,0.8784079407059132,0.01903606112943588,0.03862418634613453,0.08452951477293806,0.1323230510654382,0.13797123297787797,0.19653037003510304
xgb,rdkit_soap_xtb_acsf,0.9255423506431989,0.8304797486460997,0.9659546612927381,0.9191595381299826,0.9620922107104355,0.884851057345915,0.018289116319647598,0.040896832646409975,0.08151049383545204,0.1367420813180211,0.1352372593616404,0.20222965323218545
rf,rdkit_soap,0.8421843417272434,0.7264931364722086,0.9270767342160532,0.8701353116874533,0.9192369604842167,0.8369194936929291,0.03876443798784202,0.06598364700385533,0.1288136653671001,0.1878827865059771,0.19688686596073904,0.25687282262601335
rf,soap_xtb,0.8349428065280137,0.7126670213210977,0.9225321523530848,0.8612881196076062,0.9110194786358461,0.8305634461967111,0.04054318443949103,0.06931920315699314,0.13210469262319166,0.19166604903074858,0.201353381991689,0.26328540247608323
rf,rdkit_xtb,0.8308288473499068,0.7097406632615113,0.9220081701824291,0.8606016401246571,0.9088720228946491,0.8167629869069777,0.04155370086853007,0.07002518828190031,0.1347452012886762,0.19257368290706328,0.20384724886181338,0.2646227282035697
rf,soap_acsf,0.829069503725752,0.6980000206413048,0.9199951516448801,0.8546910734431643,0.9106246238705292,0.8404022594442814,0.04198585042557835,0.07285762330110927,0.13526855718373387,0.19363785956920573,0.20490449098440558,0.2699215132239542
rf,acsf_xtb,0.8301706621086977,0.6952614070446991,0.9226349723372232,0.8590660074263649,0.9129355633391205,0.8248168827069798,0.041715371651053254,0.07351831499457398,0.13795150554156643,0.19754598792098524,0.20424341274825306,0.2711426100681595
rf,rdkit_acsf,0.838657187467172,0.7145730466380671,0.9249388872760314,0.8641338978580819,0.9164307207398331,0.8277119317377915,0.03963081686357932,0.06885937373965009,0.13131864407808644,0.19180838902069178,0.1990749026461631,0.26241069669441847
rf,rdkit_soap_xtb,0.8423244649142438,0.7248565360071746,0.9271497299930661,0.8690648395543448,0.9188677366422624,0.8320871562129277,0.03873001937151088,0.06637847756122513,0.1284709197561366,0.18832862462102196,0.19679943945934114,0.2576402095194481
rf,rdkit_soap_acsf,0.8374577933750509,0.7088911479353318,0.9222063135617046,0.8560244783063126,0.9134606509042261,0.818395533352924,0.039925425386053384,0.07023013421519057,0.1284147497034113,0.18926917385065267,0.19981347648758174,0.26500968702141925
rf,rdkit_xtb_acsf,0.8399969710054016,0.7129398605603154,0.925596485931544,0.8622413126279559,0.9174223603829053,0.818395533352924,0.039301724323249305,0.06925338057463769,0.13008248893237354,0.19264849394585218,0.19824662499838253,0.26316037044858726
rf,soap_xtb_acsf,0.8360277802978264,0.7064291350705967,0.9232825632801097,0.8581475446264093,0.9140747539734425,0.8329143130788739,0.040276681109728575,0.07082409586459952,0.1314871187903796,0.19335575205534167,0.20069051076154193,0.26612796896342844
rf,rdkit_soap_xtb_acsf,0.8428163035359415,0.7182187007884269,0.9274709174075818,0.8660858577139611,0.9182546726645336,0.8277554663096833,0.03860920849659837,0.06797985812730771,0.127878252662238,0.19053028120500862,0.1964922606531829,0.2607294730699
